tuple_id,mechanism_family,mechanism_instance,threat_class,cost_type,stakeholder,time_horizon,bearing_mode,magnitude,unit,evidence_grade,data_origin,source_key,source_locator,notes
S01,SpeculationControls,SpecCtrl_1,TransientExecution,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Internalized,5.80,percent_runtime,E1,Measured,retbleed2022,USENIX22:paper+bench,seed tuple for speculation-control burden profile
S02,SpeculationControls,SpecCtrl_2,TransientExecution,EngineeringLaborCost,ChipVendor,Upfront,Internalized,2,engineer_months,E1,Measured,retbleed2022,USENIX22:paper+bench,seed tuple for speculation-control burden profile
S03,SpeculationControls,SpecCtrl_3,TransientExecution,LifecycleOperationsCost,CloudOperator,Recurring,Internalized,9,ops_hours_per_month,E1,Measured,retbleed2022,USENIX22:paper+bench,seed tuple for speculation-control burden profile
S04,SpeculationControls,SpecCtrl_4,TransientExecution,OpportunityCost,EnterpriseCustomer,Recurring,Internalized,0.68,percent_throughput,E1,Measured,retbleed2022,USENIX22:paper+bench,seed tuple for speculation-control burden profile
S05,SpeculationControls,SpecCtrl_5,TransientExecution,ComplianceAssuranceCost,OEMIntegrator,Upfront,Internalized,95,audit_hours,E1,Measured,retbleed2022,USENIX22:paper+bench,seed tuple for speculation-control burden profile
S06,SpeculationControls,SpecCtrl_6,TransientExecution,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Internalized,9.80,percent_runtime,E1,Measured,retbleed2022,USENIX22:paper+bench,seed tuple for speculation-control burden profile
S07,SpeculationControls,SpecCtrl_7,TransientExecution,EngineeringLaborCost,ChipVendor,Upfront,Internalized,3,engineer_months,E1,Measured,retbleed2022,USENIX22:paper+bench,seed tuple for speculation-control burden profile
S08,SpeculationControls,SpecCtrl_8,TransientExecution,LifecycleOperationsCost,CloudOperator,Recurring,Internalized,14,ops_hours_per_month,E1,Measured,retbleed2022,USENIX22:paper+bench,seed tuple for speculation-control burden profile
S09,SpeculationControls,SpecCtrl_9,TransientExecution,OpportunityCost,EnterpriseCustomer,Recurring,Internalized,1.03,percent_throughput,E1,Measured,retbleed2022,USENIX22:paper+bench,seed tuple for speculation-control burden profile
S10,SpeculationControls,SpecCtrl_10,TransientExecution,ComplianceAssuranceCost,OEMIntegrator,Upfront,Internalized,110,audit_hours,E1,Measured,retbleed2022,USENIX22:paper+bench,seed tuple for speculation-control burden profile
S11,SpeculationControls,SpecCtrl_11,TransientExecution,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Transferred,13.80,percent_runtime,E2,Inferred,invisispec2018,MICRO18:sec6-eval,seed tuple for speculation-control burden profile
S12,SpeculationControls,SpecCtrl_12,TransientExecution,EngineeringLaborCost,ChipVendor,Upfront,Transferred,5,engineer_months,E2,Inferred,invisispec2018,MICRO18:sec6-eval,seed tuple for speculation-control burden profile
S13,SpeculationControls,SpecCtrl_13,TransientExecution,LifecycleOperationsCost,CloudOperator,Recurring,Transferred,19,ops_hours_per_month,E2,Inferred,invisispec2018,MICRO18:sec6-eval,seed tuple for speculation-control burden profile
S14,SpeculationControls,SpecCtrl_14,TransientExecution,OpportunityCost,EnterpriseCustomer,Recurring,Transferred,1.38,percent_throughput,E2,Inferred,invisispec2018,MICRO18:sec6-eval,seed tuple for speculation-control burden profile
S15,SpeculationControls,SpecCtrl_15,TransientExecution,ComplianceAssuranceCost,OEMIntegrator,Upfront,Transferred,125,audit_hours,E2,Inferred,invisispec2018,MICRO18:sec6-eval,seed tuple for speculation-control burden profile
S16,SpeculationControls,SpecCtrl_16,TransientExecution,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Transferred,17.80,percent_runtime,E2,Inferred,invisispec2018,MICRO18:sec6-eval,seed tuple for speculation-control burden profile
S17,SpeculationControls,SpecCtrl_17,TransientExecution,EngineeringLaborCost,ChipVendor,Upfront,Externalized,6,engineer_months,E3,Synthetic,invisispec2018,MICRO18:sec6-eval,seed tuple for speculation-control burden profile
S18,SpeculationControls,SpecCtrl_18,TransientExecution,LifecycleOperationsCost,CloudOperator,Recurring,Externalized,24,ops_hours_per_month,E3,Synthetic,invisispec2018,MICRO18:sec6-eval,seed tuple for speculation-control burden profile
S19,SpeculationControls,SpecCtrl_19,TransientExecution,OpportunityCost,EnterpriseCustomer,Recurring,Externalized,1.73,percent_throughput,E3,Synthetic,invisispec2018,MICRO18:sec6-eval,seed tuple for speculation-control burden profile
S20,SpeculationControls,SpecCtrl_20,TransientExecution,ComplianceAssuranceCost,OEMIntegrator,Upfront,Externalized,140,audit_hours,E3,Synthetic,invisispec2018,MICRO18:sec6-eval,seed tuple for speculation-control burden profile
T21,TrustedExecutionEnvironments,TEE_1,IsolationBypass,PhysicalResourceCost,ChipVendor,Upfront,Internalized,0.68,percent_area_or_gates,E1,Measured,sanctum2016,USENIX16:sec6-eval,seed tuple for TEE cost distribution
T22,TrustedExecutionEnvironments,TEE_2,IsolationBypass,MicroarchitecturalPerformanceCost,CloudOperator,Recurring,Internalized,3.30,percent_runtime,E1,Measured,sanctum2016,USENIX16:sec6-eval,seed tuple for TEE cost distribution
T23,TrustedExecutionEnvironments,TEE_3,IsolationBypass,VerificationValidationCost,ChipVendor,Upfront,Internalized,141,verification_hours,E1,Measured,sanctum2016,USENIX16:sec6-eval,seed tuple for TEE cost distribution
T24,TrustedExecutionEnvironments,TEE_4,IsolationBypass,EngineeringLaborCost,OEMIntegrator,Upfront,Internalized,3,engineer_months,E1,Measured,sanctum2016,USENIX16:sec6-eval,seed tuple for TEE cost distribution
